trait,location_year,location,pearson,spearman,ndcg_at_10,n_test_genotypes,iteration,fold,seed,cv_scheme,train_location
DTF,PAK_2019,PAK,-0.0821796420179954,-0.0895453799710075,0.781282234597713,41,4,3,1004,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.0553484360276973,-0.0506140232391912,0.693815042389418,53,4,3,1004,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.210103573065504,0.0821933732661891,0.674872396456718,47,4,3,1004,CV1_PAK,PAK
DTF,PAK_2019,PAK,-0.0112672787464487,-0.0645273126010095,0.912272845416501,51,4,4,1004,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.563099938388777,0.478045112885816,0.901443884990574,52,4,4,1004,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.518964951634122,0.455797379004655,0.843238904733147,47,4,4,1004,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.149452492789688,0.167949407495361,0.864633561140528,44,4,5,1004,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.0750362883429736,0.117278147473902,0.773520613104321,55,4,5,1004,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.178147936451238,0.310364781198542,0.882860151948881,50,4,5,1004,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.316646796170868,0.146224149230153,0.897712069559698,47,5,1,1005,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.316644874068476,0.371961561452384,0.91060275404133,53,5,1,1005,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.429715135053641,0.401654052810036,0.84034787092019,49,5,1,1005,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.0910112668064681,-0.0654786927022893,0.821883814646305,40,5,2,1005,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.0396635449291024,0.0215487300516847,0.690287445672496,53,5,2,1005,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.270384227870035,0.294949082550631,0.638215547010503,44,5,2,1005,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.0690907639994949,-0.055723167982373,0.863456247308847,45,5,3,1005,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.502276211794469,0.436096362047674,0.813791837397303,54,5,3,1005,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.512046179841572,0.473632466369172,0.765023638354022,50,5,3,1005,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.118971428644326,0.122241926065575,0.565756168154941,46,5,4,1005,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.291413799568845,0.156796374006381,0.656644400029847,56,5,4,1005,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.335233696366612,0.32387108137191,0.822029383627303,50,5,4,1005,CV1_PAK,PAK
DTF,PAK_2019,PAK,-0.142432814384895,-0.117887525415275,0.707285604249759,43,5,5,1005,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.175557418168462,0.186231576333019,0.817989297038732,51,5,5,1005,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.27047434544296,0.321789165709393,0.795602557011628,51,5,5,1005,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.130179684705414,0.195623419319714,0.671502250982686,45,6,1,1006,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.281025292670436,0.223058943932019,0.697962589327575,52,6,1,1006,CV1_PAK,PAK
