trait,location_year,location,pearson,spearman,ndcg_at_10,n_test_genotypes,iteration,fold,seed,cv_scheme,model
DTF,PAK_2021,PAK,0.422548518,0.368849091,0.799302543,51,10,4,1010,CV1,GBLUP
DTF,AUS_2018,AUS,0.238042867,0.287115626,0.684494973,100,10,5,1010,CV1,GBLUP
DTF,AUS_2019,AUS,0.168042827,0.354452687,0.902467439,50,10,5,1010,CV1,GBLUP
DTF,PAK_2019,PAK,0.276791825,0.249008887,0.920816269,45,10,5,1010,CV1,GBLUP
DTF,PAK_2020,PAK,0.551063556,0.527342452,0.836053773,56,10,5,1010,CV1,GBLUP
DTF,PAK_2021,PAK,0.578845304,0.56218034,0.898418654,51,10,5,1010,CV1,GBLUP
DTF,AUS_2018,AUS,0.362947859,0.393543126,0.846003096,100,11,1,1011,CV1,GBLUP
DTF,AUS_2019,AUS,0.336493483,0.283289274,0.879519418,54,11,1,1011,CV1,GBLUP
DTF,PAK_2019,PAK,0.094960764,0.219573843,0.868536294,48,11,1,1011,CV1,GBLUP
DTF,PAK_2020,PAK,0.541954228,0.527025487,0.829441109,64,11,1,1011,CV1,GBLUP
DTF,PAK_2021,PAK,0.523590371,0.489381077,0.783330056,57,11,1,1011,CV1,GBLUP
DTF,AUS_2018,AUS,-0.030672548,-0.008240106,0.612967856,96,11,2,1011,CV1,GBLUP
DTF,AUS_2019,AUS,-0.098921897,-0.095942357,0.727246425,42,11,2,1011,CV1,GBLUP
DTF,PAK_2019,PAK,0.06479894,0.012243034,0.77787307,50,11,2,1011,CV1,GBLUP
DTF,PAK_2020,PAK,0.117200378,0.167700401,0.739479629,57,11,2,1011,CV1,GBLUP
DTF,PAK_2021,PAK,0.190108781,0.209321256,0.795497053,52,11,2,1011,CV1,GBLUP
DTF,AUS_2018,AUS,0.395989387,0.400280884,0.68071336,98,11,3,1011,CV1,GBLUP
DTF,AUS_2019,AUS,0.298245211,0.281508895,0.936183721,52,11,3,1011,CV1,GBLUP
DTF,PAK_2019,PAK,0.30632625,0.11636724,0.925570122,45,11,3,1011,CV1,GBLUP
